ID;Codice;Configurazione;Tipo_Parete;Montante;Guida;Tipologia_Lastra;Spessore_Lastra_mm;Numero_Lati;Numero_Strati;Spessore_Totale_mm;Peso_kg_mq;Isolamento_Acustico_Rw_dB;Resistenza_Fuoco
207;p_singola-c150-fibra-15;Parete Singola;Parete;C 150/50;U 150/40;Fibrorinforzata;15;1;1;165;14.3;65;REI 30
208;p_singola-c150-fibra-18;Parete Singola;Parete;C 150/50;U 150/40;Fibrorinforzata;18;1;1;168;16.5;67;REI 30
209;p_singola-c150-fibra-25;Parete Singola;Parete;C 150/50;U 150/40;Fibrorinforzata;25;1;1;175;21.8;73;REI 30
210;p_singola-c150-combi-6;Parete Singola;Parete;C 150/50;U 150/40;Combinata;6;1;1;156;7.5;57;REI 45
211;p_singola-c150-combi-9.5;Parete Singola;Parete;C 150/50;U 150/40;Combinata;9.5;1;1;159.5;10.1;60;REI 45
212;p_singola-c150-combi-12.5;Parete Singola;Parete;C 150/50;U 150/40;Combinata;12.5;1;1;162.5;12.4;63;REI 45
213;p_singola-c150-combi-15;Parete Singola;Parete;C 150/50;U 150/40;Combinata;15;1;1;165;14.3;65;REI 60
214;p_singola-c150-combi-18;Parete Singola;Parete;C 150/50;U 150/40;Combinata;18;1;1;168;16.5;67;REI 60
215;p_singola-c150-combi-25;Parete Singola;Parete;C 150/50;U 150/40;Combinata;25;1;1;175;21.8;73;REI 60
216;p_doppia_singola-c50-std-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Standard;6;2;1;62;12.0;42;REI 30
217;p_doppia_singola-c50-std-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Standard;9.5;2;1;69;17.3;45;REI 30
218;p_doppia_singola-c50-std-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Standard;12.5;2;1;75;21.8;48;REI 30
219;p_doppia_singola-c50-std-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Standard;15;2;1;80;25.5;50;REI 30
220;p_doppia_singola-c50-std-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Standard;18;2;1;86;30.0;52;REI 30
221;p_doppia_singola-c50-std-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Standard;25;2;1;100;40.5;58;REI 30
222;p_doppia_singola-c50-h2o-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Idrofuga;6;2;1;62;12.0;42;REI 30
223;p_doppia_singola-c50-h2o-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Idrofuga;9.5;2;1;69;17.3;45;REI 30
224;p_doppia_singola-c50-h2o-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Idrofuga;12.5;2;1;75;21.8;48;REI 30
225;p_doppia_singola-c50-h2o-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Idrofuga;15;2;1;80;25.5;50;REI 30
226;p_doppia_singola-c50-h2o-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Idrofuga;18;2;1;86;30.0;52;REI 30
227;p_doppia_singola-c50-h2o-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Idrofuga;25;2;1;100;40.5;58;REI 30
228;p_doppia_singola-c50-fono-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fonoisolante;6;2;1;62;12.0;47;REI 30
229;p_doppia_singola-c50-fono-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fonoisolante;9.5;2;1;69;17.3;50;REI 30
230;p_doppia_singola-c50-fono-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fonoisolante;12.5;2;1;75;21.8;53;REI 30
231;p_doppia_singola-c50-fono-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fonoisolante;15;2;1;80;25.5;55;REI 30
232;p_doppia_singola-c50-fono-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fonoisolante;18;2;1;86;30.0;57;REI 30
233;p_doppia_singola-c50-fono-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fonoisolante;25;2;1;100;40.5;63;REI 30
234;p_doppia_singola-c50-fuoco-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Antifuoco;6;2;1;62;12.0;42;REI 45
235;p_doppia_singola-c50-fuoco-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Antifuoco;9.5;2;1;69;17.3;45;REI 45
236;p_doppia_singola-c50-fuoco-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Antifuoco;12.5;2;1;75;21.8;48;REI 45
237;p_doppia_singola-c50-fuoco-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Antifuoco;15;2;1;80;25.5;50;REI 60
238;p_doppia_singola-c50-fuoco-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Antifuoco;18;2;1;86;30.0;52;REI 60
239;p_doppia_singola-c50-fuoco-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Antifuoco;25;2;1;100;40.5;58;REI 60
240;p_doppia_singola-c50-flex-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Flessibile;6;2;1;62;12.0;42;REI 30
241;p_doppia_singola-c50-impatto-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Alta resistenza;6;2;1;62;12.0;42;REI 30
242;p_doppia_singola-c50-impatto-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Alta resistenza;9.5;2;1;69;17.3;45;REI 30
243;p_doppia_singola-c50-impatto-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Alta resistenza;12.5;2;1;75;21.8;48;REI 30
244;p_doppia_singola-c50-impatto-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Alta resistenza;15;2;1;80;25.5;50;REI 30
245;p_doppia_singola-c50-impatto-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Alta resistenza;18;2;1;86;30.0;52;REI 30
246;p_doppia_singola-c50-impatto-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Alta resistenza;25;2;1;100;40.5;58;REI 30
247;p_doppia_singola-c50-fibra-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;6;2;1;62;12.0;42;REI 30
248;p_doppia_singola-c50-fibra-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;9.5;2;1;69;17.3;45;REI 30
249;p_doppia_singola-c50-fibra-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;12.5;2;1;75;21.8;48;REI 30
250;p_doppia_singola-c50-fibra-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;15;2;1;80;25.5;50;REI 30
251;p_doppia_singola-c50-fibra-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;18;2;1;86;30.0;52;REI 30
252;p_doppia_singola-c50-fibra-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Fibrorinforzata;25;2;1;100;40.5;58;REI 30
253;p_doppia_singola-c50-combi-6;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Combinata;6;2;1;62;12.0;42;REI 45
254;p_doppia_singola-c50-combi-9.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Combinata;9.5;2;1;69;17.3;45;REI 45
255;p_doppia_singola-c50-combi-12.5;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Combinata;12.5;2;1;75;21.8;48;REI 45
256;p_doppia_singola-c50-combi-15;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Combinata;15;2;1;80;25.5;50;REI 60
257;p_doppia_singola-c50-combi-18;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Combinata;18;2;1;86;30.0;52;REI 60
258;p_doppia_singola-c50-combi-25;Parete Doppia Lastra Singola;Parete;C 50/50;U 50/40;Combinata;25;2;1;100;40.5;58;REI 60
259;p_doppia_singola-c75-std-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Standard;6;2;1;87;12.0;46;REI 30
260;p_doppia_singola-c75-std-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Standard;9.5;2;1;94;17.3;49;REI 30
261;p_doppia_singola-c75-std-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Standard;12.5;2;1;100;21.8;51;REI 30
262;p_doppia_singola-c75-std-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Standard;15;2;1;105;25.5;53;REI 30
263;p_doppia_singola-c75-std-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Standard;18;2;1;111;30.0;56;REI 30
264;p_doppia_singola-c75-std-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Standard;25;2;1;125;40.5;61;REI 30
265;p_doppia_singola-c75-h2o-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Idrofuga;6;2;1;87;12.0;46;REI 30
266;p_doppia_singola-c75-h2o-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Idrofuga;9.5;2;1;94;17.3;49;REI 30
267;p_doppia_singola-c75-h2o-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Idrofuga;12.5;2;1;100;21.8;51;REI 30
268;p_doppia_singola-c75-h2o-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Idrofuga;15;2;1;105;25.5;53;REI 30
269;p_doppia_singola-c75-h2o-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Idrofuga;18;2;1;111;30.0;56;REI 30
270;p_doppia_singola-c75-h2o-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Idrofuga;25;2;1;125;40.5;61;REI 30
271;p_doppia_singola-c75-fono-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fonoisolante;6;2;1;87;12.0;51;REI 30
272;p_doppia_singola-c75-fono-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fonoisolante;9.5;2;1;94;17.3;54;REI 30
273;p_doppia_singola-c75-fono-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fonoisolante;12.5;2;1;100;21.8;56;REI 30
274;p_doppia_singola-c75-fono-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fonoisolante;15;2;1;105;25.5;58;REI 30
275;p_doppia_singola-c75-fono-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fonoisolante;18;2;1;111;30.0;61;REI 30
276;p_doppia_singola-c75-fono-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fonoisolante;25;2;1;125;40.5;66;REI 30
277;p_doppia_singola-c75-fuoco-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Antifuoco;6;2;1;87;12.0;46;REI 45
278;p_doppia_singola-c75-fuoco-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Antifuoco;9.5;2;1;94;17.3;49;REI 45
279;p_doppia_singola-c75-fuoco-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Antifuoco;12.5;2;1;100;21.8;51;REI 45
280;p_doppia_singola-c75-fuoco-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Antifuoco;15;2;1;105;25.5;53;REI 60
281;p_doppia_singola-c75-fuoco-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Antifuoco;18;2;1;111;30.0;56;REI 60
282;p_doppia_singola-c75-fuoco-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Antifuoco;25;2;1;125;40.5;61;REI 60
283;p_doppia_singola-c75-flex-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Flessibile;6;2;1;87;12.0;46;REI 30
284;p_doppia_singola-c75-impatto-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Alta resistenza;6;2;1;87;12.0;46;REI 30
285;p_doppia_singola-c75-impatto-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Alta resistenza;9.5;2;1;94;17.3;49;REI 30
286;p_doppia_singola-c75-impatto-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Alta resistenza;12.5;2;1;100;21.8;51;REI 30
287;p_doppia_singola-c75-impatto-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Alta resistenza;15;2;1;105;25.5;53;REI 30
288;p_doppia_singola-c75-impatto-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Alta resistenza;18;2;1;111;30.0;56;REI 30
289;p_doppia_singola-c75-impatto-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Alta resistenza;25;2;1;125;40.5;61;REI 30
290;p_doppia_singola-c75-fibra-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;6;2;1;87;12.0;46;REI 30
291;p_doppia_singola-c75-fibra-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;9.5;2;1;94;17.3;49;REI 30
292;p_doppia_singola-c75-fibra-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;12.5;2;1;100;21.8;51;REI 30
293;p_doppia_singola-c75-fibra-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;15;2;1;105;25.5;53;REI 30
294;p_doppia_singola-c75-fibra-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;18;2;1;111;30.0;56;REI 30
295;p_doppia_singola-c75-fibra-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Fibrorinforzata;25;2;1;125;40.5;61;REI 30
296;p_doppia_singola-c75-combi-6;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Combinata;6;2;1;87;12.0;46;REI 45
297;p_doppia_singola-c75-combi-9.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Combinata;9.5;2;1;94;17.3;49;REI 45
298;p_doppia_singola-c75-combi-12.5;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Combinata;12.5;2;1;100;21.8;51;REI 45
299;p_doppia_singola-c75-combi-15;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Combinata;15;2;1;105;25.5;53;REI 60
300;p_doppia_singola-c75-combi-18;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Combinata;18;2;1;111;30.0;56;REI 60
301;p_doppia_singola-c75-combi-25;Parete Doppia Lastra Singola;Parete;C 75/50;U 75/40;Combinata;25;2;1;125;40.5;61;REI 60
302;p_doppia_singola-c100-std-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Standard;6;2;1;112;12.0;50;REI 30
303;p_doppia_singola-c100-std-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Standard;9.5;2;1;119;17.3;53;REI 30
304;p_doppia_singola-c100-std-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Standard;12.5;2;1;125;21.8;55;REI 30
305;p_doppia_singola-c100-std-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Standard;15;2;1;130;25.5;57;REI 30
306;p_doppia_singola-c100-std-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Standard;18;2;1;136;30.0;59;REI 30
307;p_doppia_singola-c100-std-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Standard;25;2;1;150;40.5;65;REI 30
308;p_doppia_singola-c100-h2o-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Idrofuga;6;2;1;112;12.0;50;REI 30
309;p_doppia_singola-c100-h2o-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Idrofuga;9.5;2;1;119;17.3;53;REI 30
310;p_doppia_singola-c100-h2o-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Idrofuga;12.5;2;1;125;21.8;55;REI 30
311;p_doppia_singola-c100-h2o-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Idrofuga;15;2;1;130;25.5;57;REI 30
312;p_doppia_singola-c100-h2o-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Idrofuga;18;2;1;136;30.0;59;REI 30
313;p_doppia_singola-c100-h2o-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Idrofuga;25;2;1;150;40.5;65;REI 30
314;p_doppia_singola-c100-fono-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fonoisolante;6;2;1;112;12.0;55;REI 30
315;p_doppia_singola-c100-fono-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fonoisolante;9.5;2;1;119;17.3;58;REI 30
316;p_doppia_singola-c100-fono-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fonoisolante;12.5;2;1;125;21.8;60;REI 30
317;p_doppia_singola-c100-fono-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fonoisolante;15;2;1;130;25.5;62;REI 30
318;p_doppia_singola-c100-fono-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fonoisolante;18;2;1;136;30.0;64;REI 30
319;p_doppia_singola-c100-fono-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fonoisolante;25;2;1;150;40.5;70;REI 30
320;p_doppia_singola-c100-fuoco-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Antifuoco;6;2;1;112;12.0;50;REI 45
321;p_doppia_singola-c100-fuoco-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Antifuoco;9.5;2;1;119;17.3;53;REI 45
322;p_doppia_singola-c100-fuoco-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Antifuoco;12.5;2;1;125;21.8;55;REI 45
323;p_doppia_singola-c100-fuoco-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Antifuoco;15;2;1;130;25.5;57;REI 60
324;p_doppia_singola-c100-fuoco-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Antifuoco;18;2;1;136;30.0;59;REI 60
325;p_doppia_singola-c100-fuoco-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Antifuoco;25;2;1;150;40.5;65;REI 60
326;p_doppia_singola-c100-flex-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Flessibile;6;2;1;112;12.0;50;REI 30
327;p_doppia_singola-c100-impatto-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Alta resistenza;6;2;1;112;12.0;50;REI 30
328;p_doppia_singola-c100-impatto-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Alta resistenza;9.5;2;1;119;17.3;53;REI 30
329;p_doppia_singola-c100-impatto-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Alta resistenza;12.5;2;1;125;21.8;55;REI 30
330;p_doppia_singola-c100-impatto-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Alta resistenza;15;2;1;130;25.5;57;REI 30
331;p_doppia_singola-c100-impatto-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Alta resistenza;18;2;1;136;30.0;59;REI 30
332;p_doppia_singola-c100-impatto-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Alta resistenza;25;2;1;150;40.5;65;REI 30
333;p_doppia_singola-c100-fibra-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;6;2;1;112;12.0;50;REI 30
334;p_doppia_singola-c100-fibra-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;9.5;2;1;119;17.3;53;REI 30
335;p_doppia_singola-c100-fibra-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;12.5;2;1;125;21.8;55;REI 30
336;p_doppia_singola-c100-fibra-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;15;2;1;130;25.5;57;REI 30
337;p_doppia_singola-c100-fibra-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;18;2;1;136;30.0;59;REI 30
338;p_doppia_singola-c100-fibra-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Fibrorinforzata;25;2;1;150;40.5;65;REI 30
339;p_doppia_singola-c100-combi-6;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Combinata;6;2;1;112;12.0;50;REI 45
340;p_doppia_singola-c100-combi-9.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Combinata;9.5;2;1;119;17.3;53;REI 45
341;p_doppia_singola-c100-combi-12.5;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Combinata;12.5;2;1;125;21.8;55;REI 45
342;p_doppia_singola-c100-combi-15;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Combinata;15;2;1;130;25.5;57;REI 60
343;p_doppia_singola-c100-combi-18;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Combinata;18;2;1;136;30.0;59;REI 60
344;p_doppia_singola-c100-combi-25;Parete Doppia Lastra Singola;Parete;C 100/50;U 100/40;Combinata;25;2;1;150;40.5;65;REI 60
345;p_doppia_singola-c125-std-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Standard;6;2;1;137;12.0;54;REI 30
346;p_doppia_singola-c125-std-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Standard;9.5;2;1;144;17.3;56;REI 30
347;p_doppia_singola-c125-std-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Standard;12.5;2;1;150;21.8;59;REI 30
348;p_doppia_singola-c125-std-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Standard;15;2;1;155;25.5;61;REI 30
349;p_doppia_singola-c125-std-18;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Standard;18;2;1;161;30.0;63;REI 30
350;p_doppia_singola-c125-std-25;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Standard;25;2;1;175;40.5;69;REI 30
351;p_doppia_singola-c125-h2o-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Idrofuga;6;2;1;137;12.0;54;REI 30
352;p_doppia_singola-c125-h2o-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Idrofuga;9.5;2;1;144;17.3;56;REI 30
353;p_doppia_singola-c125-h2o-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Idrofuga;12.5;2;1;150;21.8;59;REI 30
354;p_doppia_singola-c125-h2o-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Idrofuga;15;2;1;155;25.5;61;REI 30
355;p_doppia_singola-c125-h2o-18;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Idrofuga;18;2;1;161;30.0;63;REI 30
356;p_doppia_singola-c125-h2o-25;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Idrofuga;25;2;1;175;40.5;69;REI 30
357;p_doppia_singola-c125-fono-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fonoisolante;6;2;1;137;12.0;59;REI 30
358;p_doppia_singola-c125-fono-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fonoisolante;9.5;2;1;144;17.3;61;REI 30
359;p_doppia_singola-c125-fono-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fonoisolante;12.5;2;1;150;21.8;64;REI 30
360;p_doppia_singola-c125-fono-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fonoisolante;15;2;1;155;25.5;66;REI 30
361;p_doppia_singola-c125-fono-18;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fonoisolante;18;2;1;161;30.0;68;REI 30
362;p_doppia_singola-c125-fono-25;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fonoisolante;25;2;1;175;40.5;74;REI 30
363;p_doppia_singola-c125-fuoco-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Antifuoco;6;2;1;137;12.0;54;REI 45
364;p_doppia_singola-c125-fuoco-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Antifuoco;9.5;2;1;144;17.3;56;REI 45
365;p_doppia_singola-c125-fuoco-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Antifuoco;12.5;2;1;150;21.8;59;REI 45
366;p_doppia_singola-c125-fuoco-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Antifuoco;15;2;1;155;25.5;61;REI 60
367;p_doppia_singola-c125-fuoco-18;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Antifuoco;18;2;1;161;30.0;63;REI 60
368;p_doppia_singola-c125-fuoco-25;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Antifuoco;25;2;1;175;40.5;69;REI 60
369;p_doppia_singola-c125-flex-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Flessibile;6;2;1;137;12.0;54;REI 30
370;p_doppia_singola-c125-impatto-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Alta resistenza;6;2;1;137;12.0;54;REI 30
371;p_doppia_singola-c125-impatto-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Alta resistenza;9.5;2;1;144;17.3;56;REI 30
372;p_doppia_singola-c125-impatto-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Alta resistenza;12.5;2;1;150;21.8;59;REI 30
373;p_doppia_singola-c125-impatto-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Alta resistenza;15;2;1;155;25.5;61;REI 30
374;p_doppia_singola-c125-impatto-18;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Alta resistenza;18;2;1;161;30.0;63;REI 30
375;p_doppia_singola-c125-impatto-25;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Alta resistenza;25;2;1;175;40.5;69;REI 30
376;p_doppia_singola-c125-fibra-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;6;2;1;137;12.0;54;REI 30
377;p_doppia_singola-c125-fibra-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;9.5;2;1;144;17.3;56;REI 30
378;p_doppia_singola-c125-fibra-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;12.5;2;1;150;21.8;59;REI 30
379;p_doppia_singola-c125-fibra-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;15;2;1;155;25.5;61;REI 30
380;p_doppia_singola-c125-fibra-18;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;18;2;1;161;30.0;63;REI 30
381;p_doppia_singola-c125-fibra-25;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Fibrorinforzata;25;2;1;175;40.5;69;REI 30
382;p_doppia_singola-c125-combi-6;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Combinata;6;2;1;137;12.0;54;REI 45
383;p_doppia_singola-c125-combi-9.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Combinata;9.5;2;1;144;17.3;56;REI 45
384;p_doppia_singola-c125-combi-12.5;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Combinata;12.5;2;1;150;21.8;59;REI 45
385;p_doppia_singola-c125-combi-15;Parete Doppia Lastra Singola;Parete;C 125/50;U 125/40;Combinata;15;2;1;155;25.5;61;REI 60
